date,day,plan,plan_week,activity_category,activity,intensity,sets,reps,completed
08/03/2021,Monday,Base,1,E,commute lss run,,1,100,TRUE
09/03/2021,Tuesday,Base,1,SE,pushups,bw,3,10,TRUE
09/03/2021,Tuesday,Base,1,SE,bodyweight squats,bw,3,10,TRUE
10/03/2021,Wednesday,Base,1,E,lss run,,1,30,
11/03/2021,Thursday,Base,1,SE,pushups,bw,2,10,
11/03/2021,Thursday,Base,1,SE,bodyweight squats,bw,2,10,
12/03/2021,Friday,Base,1,Recovery,rest,,1,1,
13/03/2021,Saturday,Base,1,E,lss run,,1,30,
14/03/2021,Sunday,Base,1,Rest,rest,,1,1,
15/03/2021,Monday,Base,2,SE,pushups,bw,3,15,
15/03/2021,Monday,Base,2,SE,bodyweight squats,bw,3,15,
16/03/2021,Tuesday,Base,2,E,commute lss run,,1,120,
17/03/2021,Wednesday,Base,2,E,lss run,,1,40,
18/03/2021,Thursday,Base,2,SE,pushups,bw,2,15,
18/03/2021,Thursday,Base,2,SE,bodyweight squats,bw,2,15,
19/03/2021,Friday,Base,2,Recovery,rest,,1,1,
20/03/2021,Saturday,Base,2,E,lss run,,1,40,
21/03/2021,Sunday,Base,2,Rest,rest,,1,1,
22/03/2021,Monday,Base,3,SE,pushups,bw,3,20,
22/03/2021,Monday,Base,3,SE,bodyweight squats,bw,3,20,
23/03/2021,Tuesday,Base,3,E,lss run,,1,50,
24/03/2021,Wednesday,Base,3,E,commute lss run,,1,120,
25/03/2021,Thursday,Base,3,SE,pushups,bw,2,20,
25/03/2021,Thursday,Base,3,SE,bodyweight squats,bw,2,20,
26/03/2021,Friday,Base,3,Recovery,rest,,1,1,
27/03/2021,Saturday,Base,3,E,lss run,,1,50,
28/03/2021,Sunday,Base,3,Rest,rest,,1,1,
29/03/2021,Monday,Base,4,SE,pushups,bw,1,25,
29/03/2021,Monday,Base,4,SE,bodyweight squats,bw,1,25,
30/03/2021,Tuesday,Base,4,E,lss run,,1,60,
31/03/2021,Wednesday,Base,4,E,commute lss run,,1,120,
01/04/2021,Thursday,Base,4,SE,pushups,bw,1,25,
01/04/2021,Thursday,Base,4,SE,bodyweight squats,bw,1,25,
02/04/2021,Friday,Base,4,Recovery,rest,,1,1,
03/04/2021,Saturday,Base,4,E,lss run,,1,60,
04/04/2021,Sunday,Base,4,Rest,rest,,1,1,
05/04/2021,Monday,Base,5,SE,pushups,bw,3,25,
05/04/2021,Monday,Base,5,SE,bodyweight squats,bw,3,25,
06/04/2021,Tuesday,Base,5,E,lss run,,1,45,
07/04/2021,Wednesday,Base,5,E,commute lss run,,1,120,
08/04/2021,Thursday,Base,5,SE,pushups,bw,2,25,
08/04/2021,Thursday,Base,5,SE,bodyweight squats,bw,2,25,
09/04/2021,Friday,Base,5,Recovery,rest,,1,1,
10/04/2021,Saturday,Base,5,E,lss run,,1,45,
11/04/2021,Sunday,Base,5,Rest,rest,,1,1,
12/04/2021,Monday,Base,6,Strength,,,,,
13/04/2021,Tuesday,Base,6,HIC,10: short hills,,,,
14/04/2021,Wednesday,Base,6,Recovery,rest,,,,
15/04/2021,Thursday,Base,6,Strength,,,,,
16/04/2021,Friday,Base,6,HIC,3: 600m resets,,,,
17/04/2021,Saturday,Base,6,E,lss run,,,,
18/04/2021,Sunday,Base,6,Rest,,,,,
19/04/2021,Monday,Base,7,Strength,,,,,
20/04/2021,Tuesday,Base,7,HIC,10: short hills,,,,
21/04/2021,Wednesday,Base,7,Recovery,,,,,
22/04/2021,Thursday,Base,7,Strength,,,,,
23/04/2021,Friday,Base,7,HIC,3: 600m resets,,,,
24/04/2021,Saturday,Base,7,E,lss run,,,,
25/04/2021,Sunday,Base,7,Rest,,,,,
26/04/2021,Monday,Base,8,Strength,,,,,
27/04/2021,Tuesday,Base,8,HIC,10: short hills,,,,
28/04/2021,Wednesday,Base,8,Recovery,,,,,
29/04/2021,Thursday,Base,8,Strength,,,,,
30/04/2021,Friday,Base,8,HIC,2: fast 5 tempo run,,,,
01/05/2021,Saturday,Base,8,E,lss run,,,,
02/05/2021,Sunday,Base,8,Rest,,,,,
